status_account,month_duration,credit_history,purpose,credit_amount,status_savings,years_employment,payment_to_income_ratio,status_and_sex,secondary_obligor,residence_since,collateral,age,other_installment_plans,housing,n_credits,job,n_guarantors,telephone,is_foreign_worker,target,credit_mix_score,installment_amount,age_bucket
no checking account,18,critical account/ other credits existing (not at this bank),furniture/equipment,3780,< 100 DM,< 1 year,3,male : divorced/separated,none,2,real estate,35,none,own,2,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,1,0.057142855510204135,209.99998833333396,25-35
< 0 DM,21,critical account/ other credits existing (not at this bank),car (new),1602,< 100 DM,>= 7 years,4,male : married/widowed,none,3,real estate,30,none,own,2,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.06666666444444451,76.2857106530614,25-35
< 0 DM,18,critical account/ other credits existing (not at this bank),car (new),3966,< 100 DM,>= 7 years,1,female : divorced/separated/married,none,4,none,33,bank,rent,3,skilled employee/ official,1,"yes, registered under the customers name",yes,0,0.09090908815427007,220.33332109259325,25-35
no checking account,18,no credits taken/ all credits paid back duly,business,4165,< 100 DM,1 to < 4 years,2,male : single,none,2,real estate,36,stores,own,2,skilled employee/ official,2,none,yes,0,0.05555555401234573,231.3888760339513,35-45
< 0 DM,36,existing credits paid back duly till now,car (used),8335,unknown/ no savings account,>= 7 years,3,male : single,none,4,savings agreement/life insurance,47,none,for free,1,skilled employee/ official,1,none,yes,0,0.021276595291987336,231.5277713464508,45-55
0 to < 200 DM,48,delay in paying off in the past,business,6681,unknown/ no savings account,1 to < 4 years,4,male : single,none,4,savings agreement/life insurance,38,none,for free,1,skilled employee/ official,2,"yes, registered under the customers name",yes,1,0.026315788781163457,139.1874971002605,35-45
no checking account,24,delay in paying off in the past,business,2375,500 to < 1000 DM,1 to < 4 years,4,male : single,none,2,real estate,44,none,own,2,skilled employee/ official,2,"yes, registered under the customers name",yes,1,0.04545454442148763,98.9583292100696,35-45
< 0 DM,18,existing credits paid back duly till now,car (new),1216,< 100 DM,< 1 year,4,female : divorced/separated/married,none,3,real estate,23,none,rent,1,skilled employee/ official,1,"yes, registered under the customers name",yes,0,0.04347825897920613,67.55555180246934,<25
< 0 DM,45,no credits taken/ all credits paid back duly,business,11816,< 100 DM,>= 7 years,2,male : single,none,4,real estate,29,none,rent,2,skilled employee/ official,1,none,yes,0,0.06896551486325811,262.5777719427162,25-35
0 to < 200 DM,24,existing credits paid back duly till now,radio/television,5084,unknown/ no savings account,>= 7 years,2,female : divorced/separated/married,none,4,real estate,42,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.0238095232426304,211.8333245069448,35-45
>= 200 DM,15,existing credits paid back duly till now,radio/television,2327,< 100 DM,< 1 year,2,female : divorced/separated/married,none,3,none,25,none,own,1,unskilled - resident,1,none,yes,0,0.03999999840000006,155.1333229911118,<25
< 0 DM,12,no credits taken/ all credits paid back duly,car (new),1082,< 100 DM,1 to < 4 years,4,male : single,none,4,real estate,48,bank,own,2,skilled employee/ official,1,none,yes,0,0.041666665798611134,90.16665915277841,45-55
no checking account,12,existing credits paid back duly till now,radio/television,886,unknown/ no savings account,1 to < 4 years,4,female : divorced/separated/married,none,2,real estate,21,none,own,1,skilled employee/ official,1,none,yes,1,0.04761904535147403,73.83332718055607,<25
no checking account,4,existing credits paid back duly till now,furniture/equipment,601,< 100 DM,< 1 year,1,female : divorced/separated/married,none,3,none,23,none,rent,1,unskilled - resident,2,none,yes,1,0.04347825897920613,150.2499624375094,<25
< 0 DM,24,critical account/ other credits existing (not at this bank),car (used),2957,< 100 DM,>= 7 years,4,male : single,none,4,car,63,none,own,2,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.031746031242126486,123.20832819965298,55-65
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2611,< 100 DM,>= 7 years,4,male : married/widowed,co-applicant,3,none,46,none,own,2,skilled employee/ official,1,none,yes,1,0.04347825992438566,108.79166213368075,45-55
< 0 DM,36,existing credits paid back duly till now,furniture/equipment,5179,< 100 DM,4 to < 7 years,4,male : single,none,2,car,29,none,own,1,skilled employee/ official,1,none,yes,0,0.034482757431629055,143.86110711496926,25-35
no checking account,21,delay in paying off in the past,car (used),2993,< 100 DM,1 to < 4 years,3,male : single,none,2,none,28,stores,own,2,unskilled - resident,1,none,yes,1,0.07142856887755111,142.52380273696176,25-35
no checking account,18,existing credits paid back duly till now,repairs,1943,< 100 DM,< 1 year,4,female : divorced/separated/married,none,4,none,23,none,own,1,skilled employee/ official,1,none,yes,0,0.04347825897920613,107.9444384475312,<25
no checking account,24,all credits at this bank paid back duly,business,1559,< 100 DM,4 to < 7 years,4,male : single,none,4,real estate,50,bank,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.01999999960000001,64.95833062673623,45-55
no checking account,18,existing credits paid back duly till now,furniture/equipment,3422,< 100 DM,>= 7 years,4,male : single,none,4,car,47,bank,own,3,skilled employee/ official,2,"yes, registered under the customers name",yes,1,0.06382978587596201,190.11110054938328,45-55
0 to < 200 DM,21,existing credits paid back duly till now,furniture/equipment,3976,unknown/ no savings account,4 to < 7 years,2,male : single,none,3,real estate,35,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.028571427755102068,189.33332431746075,25-35
no checking account,18,existing credits paid back duly till now,car (new),6761,unknown/ no savings account,1 to < 4 years,2,male : single,none,4,real estate,68,none,rent,2,skilled employee/ official,1,none,yes,0,0.02941176427335641,375.6110902438283,65+
no checking account,24,existing credits paid back duly till now,car (new),1249,< 100 DM,< 1 year,4,male : married/widowed,none,2,none,28,none,own,1,skilled employee/ official,1,none,yes,1,0.035714284438775556,52.04166449826398,25-35
< 0 DM,9,existing credits paid back duly till now,radio/television,1364,< 100 DM,4 to < 7 years,3,male : single,none,4,none,59,none,own,1,skilled employee/ official,1,none,yes,1,0.016949152255099114,151.55553871605127,55-65
< 0 DM,12,existing credits paid back duly till now,radio/television,709,< 100 DM,>= 7 years,4,male : single,none,4,none,57,stores,own,1,unskilled - resident,1,none,yes,0,0.017543859341335802,59.08332840972264,55-65
< 0 DM,20,critical account/ other credits existing (not at this bank),car (new),2235,< 100 DM,1 to < 4 years,4,male : married/widowed,guarantor,2,car,33,bank,rent,2,skilled employee/ official,1,none,no,0,0.060606058769513374,111.74999441250027,25-35
no checking account,24,critical account/ other credits existing (not at this bank),car (used),4042,unknown/ no savings account,4 to < 7 years,3,male : single,none,4,car,43,none,own,2,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.04651162682531101,168.41665964930584,35-45
no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1471,< 100 DM,1 to < 4 years,4,male : single,none,4,savings agreement/life insurance,35,none,for free,2,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.057142855510204135,98.06666012888932,25-35
< 0 DM,18,all credits at this bank paid back duly,car (new),1442,< 100 DM,4 to < 7 years,4,male : single,none,4,savings agreement/life insurance,32,none,for free,2,unskilled - resident,2,none,yes,0,0.06249999804687507,80.11110666049407,25-35
no checking account,36,delay in paying off in the past,car (new),10875,< 100 DM,>= 7 years,2,male : single,none,2,real estate,45,none,own,2,skilled employee/ official,2,"yes, registered under the customers name",yes,1,0.04444444345679015,302.0833249421299,35-45
no checking account,24,existing credits paid back duly till now,car (new),1474,100 to < 500 DM,< 1 year,4,male : married/widowed,none,3,none,33,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.030303029384756687,61.416664107638994,25-35
no checking account,10,existing credits paid back duly till now,retraining,894,unknown/ no savings account,4 to < 7 years,4,female : divorced/separated/married,none,3,car,40,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.024999999375000016,89.3999910600009,35-45
no checking account,15,critical account/ other credits existing (not at this bank),furniture/equipment,3343,< 100 DM,1 to < 4 years,4,male : single,none,2,savings agreement/life insurance,28,none,for free,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.035714284438775556,222.86665180888988,25-35
< 0 DM,15,existing credits paid back duly till now,car (new),3959,< 100 DM,1 to < 4 years,3,female : divorced/separated/married,none,2,car,29,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,0,0.034482757431629055,263.93331573777897,25-35
no checking account,9,existing credits paid back duly till now,car (new),3577,100 to < 500 DM,1 to < 4 years,1,male : single,guarantor,2,none,26,none,rent,1,skilled employee/ official,2,none,no,1,0.03846153698224858,397.44440028395553,25-35
no checking account,24,critical account/ other credits existing (not at this bank),car (used),5804,>= 1000 DM,1 to < 4 years,4,male : single,none,2,none,27,none,own,2,skilled employee/ official,1,none,yes,1,0.07407407133058995,241.83332325694485,25-35
no checking account,18,delay in paying off in the past,business,2169,< 100 DM,1 to < 4 years,4,male : married/widowed,none,2,real estate,28,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,0,0.035714284438775556,120.49999330555592,25-35
< 0 DM,24,existing credits paid back duly till now,radio/television,2439,< 100 DM,< 1 year,4,female : divorced/separated/married,none,4,none,35,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,0,0.028571427755102068,101.62499576562517,25-35
no checking account,27,critical account/ other credits existing (not at this bank),furniture/equipment,4526,>= 1000 DM,< 1 year,4,male : single,none,2,none,32,stores,own,2,unskilled - resident,2,"yes, registered under the customers name",yes,1,0.06249999804687507,167.62962342112505,25-35
no checking account,10,existing credits paid back duly till now,furniture/equipment,2210,< 100 DM,1 to < 4 years,2,male : single,none,2,none,25,bank,rent,1,unskilled - resident,1,none,yes,0,0.03999999840000006,220.99997790000222,<25
no checking account,15,existing credits paid back duly till now,furniture/equipment,2221,500 to < 1000 DM,1 to < 4 years,2,female : divorced/separated/married,none,4,real estate,20,none,rent,1,skilled employee/ official,1,none,yes,1,0.04999999750000012,148.0666567955562,<25
< 0 DM,18,existing credits paid back duly till now,radio/television,2389,< 100 DM,< 1 year,4,female : divorced/separated/married,none,1,real estate,27,stores,own,1,skilled employee/ official,1,none,yes,1,0.037037035665294975,132.72221484876584,25-35
no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,3331,< 100 DM,>= 7 years,2,male : single,none,4,car,42,stores,own,1,skilled employee/ official,1,none,yes,1,0.0238095232426304,277.5833102013908,35-45
no checking account,36,existing credits paid back duly till now,business,7409,unknown/ no savings account,>= 7 years,3,male : single,none,2,car,37,none,own,2,skilled employee/ official,1,none,yes,1,0.054054052593133714,205.80554983873475,35-45
< 0 DM,12,existing credits paid back duly till now,furniture/equipment,652,< 100 DM,>= 7 years,4,female : divorced/separated/married,none,4,car,24,none,rent,1,skilled employee/ official,1,none,yes,1,0.041666664930555625,54.33332880555594,<25
no checking account,36,delay in paying off in the past,furniture/equipment,7678,500 to < 1000 DM,4 to < 7 years,2,female : divorced/separated/married,none,4,real estate,40,none,own,2,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.04999999875000003,213.27777185339525,35-45
>= 200 DM,6,critical account/ other credits existing (not at this bank),car (new),1343,< 100 DM,>= 7 years,1,male : single,none,4,none,46,none,own,2,skilled employee/ official,2,none,no,1,0.04347825992438566,223.833296027784,45-55
< 0 DM,24,critical account/ other credits existing (not at this bank),business,1382,100 to < 500 DM,4 to < 7 years,4,male : single,none,1,none,26,none,own,2,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.07692307396449716,57.58333093402788,25-35
no checking account,15,existing credits paid back duly till now,domestic appliances,874,unknown/ no savings account,< 1 year,4,female : divorced/separated/married,none,1,none,24,none,own,1,skilled employee/ official,1,none,yes,1,0.041666664930555625,58.26666278222248,<25
< 0 DM,12,existing credits paid back duly till now,furniture/equipment,3590,< 100 DM,1 to < 4 years,2,male : single,co-applicant,2,car,29,none,own,1,unskilled - resident,2,none,yes,1,0.034482757431629055,299.1666417361132,25-35
0 to < 200 DM,11,critical account/ other credits existing (not at this bank),car (new),1322,>= 1000 DM,1 to < 4 years,4,female : divorced/separated/married,none,4,real estate,40,none,own,2,skilled employee/ official,1,none,yes,1,0.04999999875000003,120.18180725619935,35-45
< 0 DM,18,all credits at this bank paid back duly,radio/television,1940,< 100 DM,< 1 year,3,male : single,co-applicant,4,savings agreement/life insurance,36,bank,for free,1,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,1,0.027777777006172864,107.77777179012378,35-45
no checking account,36,existing credits paid back duly till now,radio/television,3595,< 100 DM,>= 7 years,4,male : single,none,2,real estate,28,none,own,1,skilled employee/ official,1,none,yes,1,0.035714284438775556,99.86110833719144,25-35
< 0 DM,9,existing credits paid back duly till now,car (new),1422,< 100 DM,< 1 year,3,male : single,none,2,savings agreement/life insurance,27,none,for free,1,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,0,0.037037035665294975,157.9999824444464,25-35
no checking account,30,critical account/ other credits existing (not at this bank),radio/television,6742,unknown/ no savings account,4 to < 7 years,2,male : single,none,3,car,36,none,own,2,skilled employee/ official,1,none,yes,1,0.05555555401234573,224.73332584222246,35-45
no checking account,24,existing credits paid back duly till now,car (used),7814,< 100 DM,4 to < 7 years,3,male : single,none,3,real estate,38,none,own,1,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,1,0.026315788781163457,325.5833197673617,35-45
no checking account,24,existing credits paid back duly till now,car (used),9277,unknown/ no savings account,1 to < 4 years,2,male : divorced/separated,none,4,savings agreement/life insurance,48,none,for free,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.020833332899305567,386.54165056076454,45-55
0 to < 200 DM,30,critical account/ other credits existing (not at this bank),car (new),2181,unknown/ no savings account,>= 7 years,4,male : single,none,4,none,36,none,own,2,skilled employee/ official,1,none,yes,1,0.05555555401234573,72.69999757666675,35-45
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1098,< 100 DM,unemployed,4,female : divorced/separated/married,none,4,real estate,65,none,own,2,unemployed/ unskilled - non-resident,1,none,yes,1,0.030769230295857996,60.99999661111129,55-65
0 to < 200 DM,24,existing credits paid back duly till now,furniture/equipment,4057,< 100 DM,4 to < 7 years,3,male : divorced/separated,none,3,real estate,43,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,0,0.023255813412655504,169.04165962326417,35-45
< 0 DM,12,existing credits paid back duly till now,education,795,< 100 DM,< 1 year,4,female : divorced/separated/married,none,4,car,53,none,own,1,skilled employee/ official,1,none,yes,0,0.01886792417230332,66.24999447916713,45-55
0 to < 200 DM,24,critical account/ other credits existing (not at this bank),business,2825,unknown/ no savings account,4 to < 7 years,4,male : single,none,3,savings agreement/life insurance,34,none,own,2,skilled employee/ official,2,"yes, registered under the customers name",yes,1,0.05882352768166096,117.70832842881964,25-35
0 to < 200 DM,48,existing credits paid back duly till now,business,15672,< 100 DM,1 to < 4 years,2,male : single,none,2,real estate,23,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,0,0.04347825897920613,326.4999931979168,<25
no checking account,36,critical account/ other credits existing (not at this bank),car (new),6614,< 100 DM,>= 7 years,4,male : single,none,4,real estate,34,none,own,2,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,1,0.05882352768166096,183.7222171188273,25-35
no checking account,28,all credits at this bank paid back duly,car (used),7824,unknown/ no savings account,< 1 year,3,male : single,guarantor,4,none,40,bank,rent,2,skilled employee/ official,2,"yes, registered under the customers name",yes,1,0.04999999875000003,279.42856144897996,35-45
< 0 DM,27,critical account/ other credits existing (not at this bank),business,2442,< 100 DM,>= 7 years,4,male : single,none,4,real estate,43,stores,own,4,management/ self-employed/highly qualified employee,2,"yes, registered under the customers name",yes,1,0.09302325365062201,90.44444109465033,35-45
no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1829,< 100 DM,>= 7 years,4,male : single,none,4,real estate,46,none,own,2,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.04347825992438566,121.933325204445,45-55
< 0 DM,12,critical account/ other credits existing (not at this bank),car (new),2171,< 100 DM,1 to < 4 years,4,male : single,none,4,car,38,bank,own,2,unskilled - resident,1,none,no,1,0.05263157756232691,180.91665159027906,35-45
0 to < 200 DM,36,critical account/ other credits existing (not at this bank),car (used),5800,< 100 DM,1 to < 4 years,3,male : single,none,4,real estate,34,none,own,2,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.05882352768166096,161.1111066358026,25-35
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1169,unknown/ no savings account,1 to < 4 years,4,male : single,none,3,car,29,none,own,2,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.06896551486325811,64.94444083641994,25-35
no checking account,36,delay in paying off in the past,car (used),8947,unknown/ no savings account,4 to < 7 years,3,male : single,none,2,real estate,31,stores,own,1,management/ self-employed/highly qualified employee,2,"yes, registered under the customers name",yes,1,0.032258063475546335,248.5277708742286,25-35
< 0 DM,21,existing credits paid back duly till now,radio/television,2606,< 100 DM,< 1 year,4,female : divorced/separated/married,none,4,car,28,none,rent,1,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,1,0.035714284438775556,124.09523218594131,25-35
no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1592,>= 1000 DM,4 to < 7 years,3,female : divorced/separated/married,none,2,car,35,none,own,1,skilled employee/ official,1,none,no,1,0.028571427755102068,132.66665561111205,25-35
no checking account,15,existing credits paid back duly till now,furniture/equipment,2186,unknown/ no savings account,4 to < 7 years,1,female : divorced/separated/married,none,4,none,33,bank,rent,1,unskilled - resident,1,none,yes,1,0.030303029384756687,145.73332361777844,25-35
< 0 DM,18,existing credits paid back duly till now,furniture/equipment,4153,< 100 DM,1 to < 4 years,2,male : single,co-applicant,3,real estate,42,none,own,1,skilled employee/ official,1,none,yes,0,0.0238095232426304,230.7222094043217,35-45
< 0 DM,16,critical account/ other credits existing (not at this bank),car (new),2625,< 100 DM,>= 7 years,2,male : single,guarantor,4,car,43,bank,rent,1,skilled employee/ official,1,"yes, registered under the customers name",yes,0,0.023255813412655504,164.06248974609437,35-45
no checking account,20,critical account/ other credits existing (not at this bank),car (new),3485,unknown/ no savings account,< 1 year,2,male : divorced/separated,none,4,none,44,none,own,2,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.04545454442148763,174.24999128750042,35-45
no checking account,36,critical account/ other credits existing (not at this bank),car (used),10477,unknown/ no savings account,>= 7 years,2,male : single,none,4,savings agreement/life insurance,42,none,for free,2,skilled employee/ official,1,none,yes,1,0.0476190464852608,291.02776969367306,35-45
no checking account,15,existing credits paid back duly till now,radio/television,1386,unknown/ no savings account,1 to < 4 years,4,male : married/widowed,none,2,none,40,none,rent,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.024999999375000016,92.39999384000042,35-45
no checking account,24,existing credits paid back duly till now,radio/television,1278,< 100 DM,>= 7 years,4,male : single,none,1,none,36,none,own,1,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,1,0.027777777006172864,53.24999778125009,35-45
< 0 DM,12,existing credits paid back duly till now,radio/television,1107,< 100 DM,1 to < 4 years,2,male : single,none,2,none,20,none,rent,1,management/ self-employed/highly qualified employee,2,"yes, registered under the customers name",yes,1,0.04999999750000012,92.24999231250065,<25
< 0 DM,21,existing credits paid back duly till now,car (new),3763,unknown/ no savings account,4 to < 7 years,2,male : single,co-applicant,2,none,24,none,own,1,unskilled - resident,1,none,no,1,0.041666664930555625,179.19046765759677,<25
0 to < 200 DM,36,existing credits paid back duly till now,education,3711,unknown/ no savings account,1 to < 4 years,2,male : married/widowed,none,2,real estate,27,none,own,1,skilled employee/ official,1,none,yes,1,0.037037035665294975,103.0833304699075,25-35
no checking account,15,delay in paying off in the past,car (used),3594,< 100 DM,< 1 year,1,female : divorced/separated/married,none,2,car,46,none,own,2,unskilled - resident,1,none,yes,1,0.04347825992438566,239.59998402666776,45-55
0 to < 200 DM,9,existing credits paid back duly till now,car (new),3195,unknown/ no savings account,1 to < 4 years,1,female : divorced/separated/married,none,2,none,33,none,own,1,unskilled - resident,1,none,yes,1,0.030303029384756687,354.99996055556,25-35
no checking account,36,delay in paying off in the past,radio/television,4454,< 100 DM,1 to < 4 years,4,female : divorced/separated/married,none,4,none,34,none,own,2,skilled employee/ official,1,none,yes,1,0.05882352768166096,123.72221878549394,25-35
0 to < 200 DM,24,critical account/ other credits existing (not at this bank),furniture/equipment,4736,< 100 DM,< 1 year,2,female : divorced/separated/married,none,4,real estate,25,bank,own,1,unskilled - resident,1,none,yes,0,0.03999999840000006,197.33332511111144,<25
0 to < 200 DM,30,existing credits paid back duly till now,radio/television,2991,unknown/ no savings account,>= 7 years,2,female : divorced/separated/married,none,4,real estate,25,none,own,1,skilled employee/ official,1,none,yes,1,0.03999999840000006,99.69999667666677,<25
no checking account,11,existing credits paid back duly till now,business,2142,>= 1000 DM,>= 7 years,1,male : divorced/separated,none,2,none,28,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.035714284438775556,194.727255024795,25-35
< 0 DM,24,all credits at this bank paid back duly,business,3161,< 100 DM,1 to < 4 years,4,male : single,none,2,car,31,none,rent,1,skilled employee/ official,1,"yes, registered under the customers name",yes,0,0.032258063475546335,131.70832784548634,25-35
0 to < 200 DM,48,no credits taken/ all credits paid back duly,others,18424,< 100 DM,1 to < 4 years,1,female : divorced/separated/married,none,2,car,32,bank,own,1,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",no,0,0.031249999023437534,383.83332533680573,25-35
no checking account,10,existing credits paid back duly till now,car (used),2848,100 to < 500 DM,1 to < 4 years,1,male : single,co-applicant,2,none,32,none,own,1,skilled employee/ official,2,none,yes,1,0.031249999023437534,284.7999715200029,25-35
< 0 DM,6,existing credits paid back duly till now,car (new),14896,< 100 DM,>= 7 years,1,male : single,none,4,savings agreement/life insurance,68,bank,own,1,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,0,0.014705882136678205,2482.666252888958,65+
< 0 DM,24,existing credits paid back duly till now,furniture/equipment,2359,100 to < 500 DM,unemployed,1,male : divorced/separated,none,1,car,33,none,own,1,skilled employee/ official,1,none,yes,0,0.030303029384756687,98.29166257118072,25-35
< 0 DM,24,existing credits paid back duly till now,furniture/equipment,3345,< 100 DM,>= 7 years,4,male : single,none,2,car,39,none,rent,1,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,0,0.025641024983563465,139.37499419270856,35-45
no checking account,18,critical account/ other credits existing (not at this bank),furniture/equipment,1817,< 100 DM,1 to < 4 years,4,female : divorced/separated/married,none,2,savings agreement/life insurance,28,none,own,2,skilled employee/ official,1,none,yes,1,0.07142856887755111,100.94443883642006,25-35
no checking account,48,delay in paying off in the past,radio/television,12749,500 to < 1000 DM,4 to < 7 years,4,male : single,none,1,real estate,37,none,own,1,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,1,0.027027026296566857,265.60416113324663,35-45
< 0 DM,9,existing credits paid back duly till now,radio/television,1366,< 100 DM,< 1 year,3,female : divorced/separated/married,none,4,car,22,none,rent,1,skilled employee/ official,1,none,yes,0,0.045454543388429844,151.77776091358214,<25
0 to < 200 DM,12,existing credits paid back duly till now,car (new),2002,< 100 DM,4 to < 7 years,3,male : single,none,4,car,30,none,rent,1,skilled employee/ official,2,"yes, registered under the customers name",yes,1,0.033333332222222255,166.8333194305567,25-35
< 0 DM,24,all credits at this bank paid back duly,furniture/equipment,6872,< 100 DM,< 1 year,2,male : divorced/separated,none,1,car,55,bank,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,0,0.018181817851239675,286.33332140277827,45-55
< 0 DM,12,all credits at this bank paid back duly,car (new),697,< 100 DM,< 1 year,4,male : single,none,2,real estate,46,bank,own,2,skilled employee/ official,1,"yes, registered under the customers name",yes,0,0.04347825992438566,58.083328493055966,45-55
< 0 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,1049,< 100 DM,< 1 year,4,female : divorced/separated/married,none,4,car,21,none,rent,1,skilled employee/ official,1,none,yes,1,0.04761904535147403,58.27777454012363,<25
< 0 DM,48,existing credits paid back duly till now,car (used),10297,< 100 DM,4 to < 7 years,4,male : single,none,4,savings agreement/life insurance,39,stores,for free,3,skilled employee/ official,2,"yes, registered under the customers name",yes,0,0.0769230749506904,214.52082886414942,35-45
no checking account,30,existing credits paid back duly till now,radio/television,1867,unknown/ no savings account,>= 7 years,4,male : single,none,4,real estate,58,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.017241379013079674,62.23333125888895,55-65
< 0 DM,12,delay in paying off in the past,car (new),1344,< 100 DM,1 to < 4 years,4,male : single,none,2,none,43,none,own,2,unskilled - resident,2,none,yes,1,0.04651162682531101,111.99999066666746,35-45
< 0 DM,24,existing credits paid back duly till now,furniture/equipment,1747,< 100 DM,< 1 year,4,male : single,co-applicant,1,car,24,none,own,1,unskilled - resident,1,none,no,1,0.041666664930555625,72.79166363368068,<25
0 to < 200 DM,9,existing credits paid back duly till now,radio/television,1670,< 100 DM,< 1 year,4,female : divorced/separated/married,none,2,real estate,22,none,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,0,0.045454543388429844,185.55553493827392,<25
no checking account,9,critical account/ other credits existing (not at this bank),car (new),1224,< 100 DM,1 to < 4 years,3,male : single,none,1,none,30,none,own,2,skilled employee/ official,1,none,yes,1,0.06666666444444451,135.99998488889057,25-35
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,522,500 to < 1000 DM,>= 7 years,4,male : single,none,4,car,42,none,own,2,skilled employee/ official,2,"yes, registered under the customers name",yes,1,0.0476190464852608,43.49999637500031,35-45
< 0 DM,12,existing credits paid back duly till now,radio/television,1498,< 100 DM,1 to < 4 years,4,female : divorced/separated/married,none,1,real estate,23,bank,own,1,skilled employee/ official,1,none,yes,1,0.04347825897920613,124.83332293055643,<25
0 to < 200 DM,30,delay in paying off in the past,radio/television,1919,100 to < 500 DM,< 1 year,4,male : single,none,3,savings agreement/life insurance,30,stores,own,2,management/ self-employed/highly qualified employee,1,none,yes,0,0.06666666444444451,63.96666453444451,25-35
>= 200 DM,9,existing credits paid back duly till now,radio/television,745,< 100 DM,1 to < 4 years,3,female : divorced/separated/married,none,2,none,28,none,own,1,unskilled - resident,1,none,yes,0,0.035714284438775556,82.77776858024794,25-35
0 to < 200 DM,6,existing credits paid back duly till now,radio/television,2063,< 100 DM,< 1 year,4,male : married/widowed,none,3,real estate,30,none,rent,1,management/ self-employed/highly qualified employee,1,"yes, registered under the customers name",yes,1,0.033333332222222255,343.83327602778735,25-35
0 to < 200 DM,60,existing credits paid back duly till now,education,6288,< 100 DM,1 to < 4 years,4,male : single,none,4,savings agreement/life insurance,42,none,for free,1,skilled employee/ official,1,none,yes,0,0.0238095232426304,104.79999825333337,35-45
no checking account,24,critical account/ other credits existing (not at this bank),car (used),6842,unknown/ no savings account,1 to < 4 years,2,male : single,none,4,car,46,none,own,2,management/ self-employed/highly qualified employee,2,"yes, registered under the customers name",yes,1,0.04347825992438566,285.0833214548616,45-55
no checking account,12,existing credits paid back duly till now,car (new),3527,unknown/ no savings account,< 1 year,2,male : single,none,3,car,45,none,own,1,management/ self-employed/highly qualified employee,2,"yes, registered under the customers name",yes,1,0.022222221728395074,293.9166421736132,35-45
no checking account,10,existing credits paid back duly till now,car (new),1546,< 100 DM,1 to < 4 years,3,male : single,none,2,none,31,none,own,1,unskilled - resident,2,none,no,1,0.032258063475546335,154.59998454000157,25-35
no checking account,24,existing credits paid back duly till now,furniture/equipment,929,unknown/ no savings account,4 to < 7 years,4,male : single,none,2,real estate,31,stores,own,1,skilled employee/ official,1,"yes, registered under the customers name",yes,1,0.032258063475546335,38.70833172048618,25-35
no checking account,4,critical account/ other credits existing (not at this bank),car (new),1455,< 100 DM,4 to < 7 years,2,male : single,none,1,none,42,none,own,3,unskilled - resident,2,none,yes,1,0.0714285697278912,363.7499090625227,35-45
